"","row_var","row_cat","col_var","col_cat","n","n_row","n_total","percent_total","se_total","t_crit_total","lcl_total","ucl_total","percent_row","se_row","t_crit_row","lcl_row","ucl_row"
"26","xdr","1","num_strains_eto_mutations","0",90,94,258,34.8837209302326,2.97296384696314,1.96923749623368,29.2786181528603,40.9406804523083,95.7446808510638,2.09306117803389,1.96923749623368,89.108368024192,98.4096302900549
"27","xdr","1","num_strains_eto_mutations","1",4,94,258,1.55038759689922,0.770656039667431,1.96923749623368,0.57929142956792,4.08253568304011,4.25531914893617,2.09306117803389,1.96923749623368,1.59036970994508,10.891631975808
"28","xdr","0","num_strains_fq_mutations","0",205,238,352,58.2386363636364,2.6323241985426,1.96674556094765,52.9892721637045,63.3077253248303,86.1344537815126,2.24482644768326,1.96674556094765,81.1047350797658,89.99054846452
"29","xdr","0","num_strains_fq_mutations","1",33,238,352,9.375,1.55580832042849,1.96674556094765,6.73055579104302,12.9145835667279,13.8655462184874,2.24482644768327,1.96674556094765,10.00945153548,18.8952649202342
"30","xdr","1","num_strains_fq_mutations","0",101,114,352,28.6931818181818,2.41435610084184,1.96674556094765,24.1877514753225,33.6651696488627,88.5964912280702,2.99011774249704,1.96674556094765,81.2767329593007,93.290848384594
"31","xdr","1","num_strains_fq_mutations","1",13,114,352,3.69318181818182,1.0066425959029,1.96674556094765,2.15060637486254,6.27129370563362,11.4035087719298,2.99011774249704,1.96674556094765,6.70915161540595,18.7232670406993
"32","xdr","0","num_strains_h_mutations","0",202,209,231,87.4458874458875,2.18473509824908,1.97033177327508,82.4748660241634,91.15804070875,96.6507177033493,1.24751780040178,1.97033177327508,93.1056317623891,98.4041638746887
"33","xdr","0","num_strains_h_mutations","1",7,209,231,3.03030303030303,1.13030885847311,1.97033177327508,1.44338480545686,6.25128120118336,3.34928229665072,1.24751780040178,1.97033177327508,1.59583612531127,6.89436823761094
"34","xdr","1","num_strains_h_mutations","0",21,22,231,9.09090909090909,1.89558558233704,1.97033177327508,5.98323387564686,13.5795628237648,95.4545454545455,4.54545454545454,1.97033177327508,72.7180702146919,99.3992252544528
"35","xdr","1","num_strains_h_mutations","1",1,22,231,0.432900432900433,0.432900432900433,1.97033177327508,0.0600601728631912,3.04962423615501,4.54545454545455,4.54545454545455,1.97033177327508,0.60077474554722,27.2819297853081
"36","xdr","0","num_strains_km_mutations","0",25,26,31,80.6451612903226,7.21312250806384,2.04227245630124,61.8536243886804,91.4580631703659,96.1538461538462,3.84615384615384,2.04227245630124,74.9305642601782,99.5240487606668
"37","xdr","0","num_strains_km_mutations","1",1,26,31,3.2258064516129,3.2258064516129,2.04227245630124,0.402360381401457,21.5709113517567,3.84615384615385,3.84615384615385,2.04227245630124,0.475951239333145,25.0694357398218
"38","xdr","1","num_strains_km_mutations","0",5,5,31,16.1290322580645,6.71505161118107,2.04227245630124,6.52265801481971,34.6404805969924,100,0,2.04227245630124,NA,NA
"39","xdr","0","num_strains_lzd_mutations","0",69,70,121,57.0247933884297,4.51908202131977,1.97993040508242,47.9450886056152,65.6552489763578,98.5714285714286,1.42857142857143,1.97993040508242,90.2514530652813,99.805923722797
"40","xdr","0","num_strains_lzd_mutations","1",1,70,121,0.826446280991736,0.826446280991736,1.97993040508242,0.113054805940008,5.78090884302381,1.42857142857143,1.42857142857143,1.97993040508242,0.19407627720296,9.7485469347187
"41","xdr","1","num_strains_lzd_mutations","0",50,51,121,41.3223140495868,4.49508784354841,1.97993040508242,32.7897164071129,50.4099303196786,98.0392156862745,1.96078431372549,1.97993040508242,86.9039632529408,99.735266779511
