"","row_var","row_cat","col_var","col_cat","n","n_row","n_total","percent_total","se_total","t_crit_total","lcl_total","ucl_total","percent_row","se_row","t_crit_row","lcl_row","ucl_row"
"24","mdr","1","num_strains_eto_mutations","0",108,111,258,41.8604651162791,3.07730993993882,1.96923749623368,35.9507850891941,48.013364282444,97.2972972972973,1.54615555012799,1.96923749623368,91.8763876206597,99.1348802960737
"25","mdr","1","num_strains_eto_mutations","1",3,111,258,1.16279069767442,0.668720212066772,1.96923749623368,0.37267607225171,3.56804303743433,2.7027027027027,1.54615555012799,1.96923749623368,0.865119703926348,8.1236123793403
"26","mdr","0","num_strains_fq_mutations","0",187,207,352,53.125,2.66358495810812,1.96674556094765,47.8712288274227,58.310396864028,90.3381642512077,2.05840982177541,1.96674556094765,85.4651158387414,93.6979182715271
"27","mdr","0","num_strains_fq_mutations","1",20,207,352,5.68181818181818,1.23562821874499,1.96674556094765,3.68668964930413,8.65957508085947,9.66183574879227,2.05840982177541,1.96674556094765,6.30208172847293,14.5348841612586
"28","mdr","1","num_strains_fq_mutations","0",119,145,352,33.8068181818182,2.52496416865683,1.96674556094765,29.0320176742108,38.9360676313597,82.0689655172414,3.19676643337319,1.96674556094765,74.9093627613736,87.5257856582189
"29","mdr","1","num_strains_fq_mutations","1",26,145,352,7.38636363636364,1.39604446890757,1.96674556094765,5.06822422234725,10.6458864823632,17.9310344827586,3.19676643337319,1.96674556094765,12.4742143417811,25.0906372386264
"30","mdr","0","num_strains_h_mutations","0",178,185,231,77.056277056277,2.77250308491927,1.97033177327508,71.1464039487096,82.0608875952152,96.2162162162162,1.40662515992054,1.97033177327508,92.2341577384972,98.1963403114274
"31","mdr","0","num_strains_h_mutations","1",7,185,231,3.03030303030303,1.13030885847311,1.97033177327508,1.44338480545686,6.25128120118336,3.78378378378378,1.40662515992054,1.97033177327508,1.80365968857264,7.76584226150278
"32","mdr","1","num_strains_h_mutations","0",45,46,231,19.4805194805195,2.61148076337599,1.97033177327508,14.8410491122819,25.1421402849676,97.8260869565217,2.17391304347826,1.97033177327508,85.7239086866412,99.7043473912036
"33","mdr","1","num_strains_h_mutations","1",1,46,231,0.432900432900433,0.432900432900433,1.97033177327508,0.0600601728631912,3.04962423615501,2.17391304347826,2.17391304347826,1.97033177327508,0.295652608796371,14.2760913133588
"34","mdr","0","num_strains_km_mutations","0",19,20,31,61.2903225806452,8.89293467876788,2.04227245630124,42.4098372481715,77.294859153859,95,5,2.04227245630124,68.8835011173949,99.3905161098969
"35","mdr","0","num_strains_km_mutations","1",1,20,31,3.2258064516129,3.2258064516129,2.04227245630124,0.402360381401457,21.5709113517567,5,5,2.04227245630124,0.609483890103097,31.1164988826051
"36","mdr","1","num_strains_km_mutations","0",11,11,31,35.4838709677419,8.73552516627523,2.04227245630124,20.1469570234116,54.5241106581398,100,0,2.04227245630124,NA,NA
"37","mdr","0","num_strains_lzd_mutations","0",73,75,121,60.3305785123967,4.46586978053101,1.97993040508242,51.2448056117653,68.7555208847313,97.3333333333333,1.87283408435117,1.97993040508242,89.7401965326848,99.3477407585023
"38","mdr","0","num_strains_lzd_mutations","1",2,75,121,1.65289256198347,1.16389146965717,1.97993040508242,0.405563373871996,6.48658813302086,2.66666666666667,1.87283408435118,1.97993040508242,0.652259241497748,10.2598034673152
"39","mdr","1","num_strains_lzd_mutations","0",46,46,121,38.0165289256198,4.43132450196843,1.97993040508242,29.709228423543,47.0905246636708,100,0,1.97993040508242,NA,NA
"40","mdr","0","num_strains_z_mutations","0",310,320,438,70.7762557077626,2.17555968693319,1.96540733337266,66.3250549670051,74.8620876053106,96.875,0.97417174047357,1.96540733337266,94.2758822252275,98.3150437324853
"41","mdr","0","num_strains_z_mutations","1",10,320,438,2.28310502283105,0.714507933826317,1.96540733337266,1.22974189598255,4.20037894253929,3.125,0.97417174047357,1.96540733337266,1.68495626751469,5.72411777477246
"42","mdr","1","num_strains_z_mutations","0",112,118,438,25.5707762557078,2.08690645503398,1.96540733337266,21.6885582024283,29.8827353353245,94.9152542372881,2.03099894750942,1.96540733337266,89.0868312430385,97.7108621755447
"43","mdr","1","num_strains_z_mutations","1",6,118,438,1.36986301369863,0.556035691637045,1.96540733337266,0.61476607185981,3.02419893307966,5.08474576271187,2.03099894750942,1.96540733337266,2.28913782445533,10.9131687569615
"44","mdr","0","num_strains_r_mutations","0",165,168,184,89.6739130434783,2.24944513354836,1.97301191513626,84.3197101472237,93.3441798777544,98.2142857142857,1.02479047971413,1.97301191513626,94.5549230905782,99.4292199559325
"45","mdr","0","num_strains_r_mutations","1",3,168,184,1.6304347826087,0.936173938466032,1.97301191513626,0.52121405734675,4.98202046473939,1.78571428571429,1.02479047971413,1.97301191513626,0.570780044067465,5.44507690942184
"46","mdr","1","num_strains_r_mutations","0",16,16,184,8.69565217391304,2.08291364165395,1.97301191513626,5.3707917128488,13.7790999502393,100,0,1.97301191513626,NA,NA
"47","mdr","0","num_strains_s_mutations","0",33,35,39,84.6153846153846,5.85296854040525,2.02439416391197,68.8807751221371,93.1817234193383,94.2857142857143,3.98074597725278,2.02439416391197,78.7117233982668,98.6600994133038
"48","mdr","0","num_strains_s_mutations","1",2,35,39,5.12820512820513,3.57815751243262,2.02439416391197,1.20493213738071,19.3267479757694,5.71428571428571,3.98074597725278,2.02439416391197,1.33990058669619,21.2882766017332
"49","mdr","1","num_strains_s_mutations","0",4,4,39,10.2564102564103,4.92161471762766,2.02439416391197,3.72732472840059,25.2256493271366,100,0,2.02439416391197,NA,NA
