Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-5484	TU185E-5857		GO:0046034 // GO:0040007 // GO:1902600 // GO:0015986 // GO:0006811 // GO:0006754	GO:0045261 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0016887 // GO:0046961 // GO:0046933 // GO:0005524 // GO:0000166	atpD // Rv1310
G185E-5479	TU185E-5857		GO:1902600 // GO:0040007 // GO:0015986 // GO:0006811 // GO:0006754	GO:0045263 // GO:0033177 // GO:0016021 // GO:0016020 // GO:0005886	GO:0046933 // GO:0015078 // GO:0008289	atpE // Rv1305
G185E-5480	TU185E-5857		GO:0040007 // GO:0015986 // GO:0006811 // GO:0006754	GO:0005887 // GO:0005829 // GO:0045263 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0046933 // GO:0015078	atpF // Rv1306
G185E-5483	TU185E-5857		GO:0042777 // GO:0040007 // GO:0015986 // GO:0006811 // GO:0006754	GO:0005829 // GO:0045261 // GO:0016020 // GO:0005886 // GO:0005618	GO:0005524 // GO:0046933	atpG // Rv1309
G185E-5481	TU185E-5857		GO:0040007 // GO:0015986 // GO:0008152 // GO:0006811 // GO:0006754	GO:0005829 // GO:0045263 // GO:0045261 // GO:0016021 // GO:0016020 // GO:0005886 // GO:0005618	GO:0046933 // GO:0015078 // GO:0003824	atpH // Rv1307
G185E-4855	TU185E-5531		GO:0051701 // GO:0010033	GO:0005829 // GO:0005886	GO:0016787 // GO:0008484 // GO:0003824	atsA // Rv0711
G185E-7573	TU185E-6865		GO:0051701	GO:0005829	GO:0016787 // GO:0008484 // GO:0003824	atsB // Rv3299c
G185E-4806	TU185E-5509		GO:0051701	GO:0005829	GO:0016787 // GO:0008484 // GO:0003824	atsD // Rv0663
G185E-7942	TU185E-7049					B11 // mpr19
G185E-4746	TU185E-5477					B55
G185E-6014	TU185E-6107		GO:0055085 // GO:0052572	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005576	GO:0140359 // GO:0042626 // GO:0016887 // GO:0005524 // GO:0000166	bacA // Rv1819c
G185E-6759	TU185E-7374		GO:0034599 // GO:0045454 // GO:0098869	GO:0005737 // GO:0005886 // GO:0005829	GO:0008379 // GO:0051920 // GO:0016491 // GO:0016209 // GO:0004601	bcp // Rv2521
G185E-5796	TU185E-7498		GO:0034599 // GO:0045454 // GO:0098869	GO:0005737	GO:0008379 // GO:0051920 // GO:0016491 // GO:0016209 // GO:0004601	bcpB // Rv1608c
G185E-5071	TU185E-5640		GO:0055085 // GO:0071705	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0022857	betP // Rv0917
G185E-6071	TU185E-6138		GO:0006880 // GO:0010039 // GO:0006879 // GO:0006826	GO:0005829 // GO:0005886 // GO:0005576	GO:0005506 // GO:0020037 // GO:0046872 // GO:0016491 // GO:0008199 // GO:0004322	bfrA // bfr // Rv1876
G185E-8137	TU185E-7149		GO:0006979 // GO:0006974 // GO:0051409 // GO:0006880 // GO:0006879 // GO:0006826 // GO:0001666	GO:0005737 // GO:0005886 // GO:0005829 // GO:0005618 // GO:0005576	GO:0042802 // GO:0008198 // GO:0005506 // GO:0046872 // GO:0016491 // GO:0008199 // GO:0004322	bfrB // Rv3841
G185E-4304	TU185E-5254		GO:0009251 // GO:0005975	GO:0030288 // GO:0005886	GO:0008422 // GO:0016787 // GO:0004553	bglS // Rv0186
G185E-5756	TU185E-5979	PWY0-1507	GO:0009102	GO:0005737	GO:0030170 // GO:0016740 // GO:0008483 // GO:0004015 // GO:0003824	bioA // Rv1568
G185E-5777	TU185E-5988	PWY0-1507	GO:0009102	GO:0005829 // GO:0005886 // GO:0005618	GO:0005506 // GO:0051539 // GO:0051537 // GO:0051536 // GO:0046872 // GO:0016740 // GO:0004076 // GO:0003824	bioB // Rv1589
G185E-5758	TU185E-5979	PWY0-1507	GO:0009102	GO:0005829 // GO:0005737	GO:0046872 // GO:0016874 // GO:0005524 // GO:0004141 // GO:0000287 // GO:0000166	bioD // Rv1570
G185E-5757	TU185E-5979	PWY-6519	GO:0009102 // GO:0009058	GO:0005829 // GO:0005886 // GO:0005618	GO:0030170 // GO:0016746 // GO:0016740 // GO:0008710 // GO:0003824	bioF1 // Rv1569
G185E-4146	TU185E-5174	PWY-6519	GO:0009058	GO:0005829 // GO:0005618	GO:0030170 // GO:0016746 // GO:0016740 // GO:0008710 // GO:0003824	bioF2 // Rv0032
G185E-7553	TU185E-6856	PWY0-1264	GO:0009305 // GO:0018215 // GO:0008284 // GO:0006464	GO:0005737 // GO:0032991 // GO:0005829	GO:0005524 // GO:0000166 // GO:0042803 // GO:0009374 // GO:0016874 // GO:0004077	birA // Rv3279c
G185E-5625	TU185E-7515		GO:0022900 // GO:0009061	GO:0030288 // GO:0005618	GO:0030151 // GO:0009055 // GO:0043546 // GO:0046872 // GO:0016491	bisC // Rv1442
G185E-6733	TU185E-6471	VALDEG-PWY // PWY-5046	GO:0006086	GO:0005829	GO:0004739 // GO:0046872 // GO:0016624 // GO:0016491 // GO:0005515 // GO:0003863	bkdA // Rv2497c
G185E-6732	TU185E-6471	VALDEG-PWY // PWY-5046	GO:0009083 // GO:0007584	GO:0005829 // GO:0005886 // GO:0005618	GO:0004739 // GO:0016491 // GO:0005515 // GO:0003863 // GO:0003824	bkdB // Rv2496c
G185E-6731	TU185E-6471	VALDEG-PWY // PWY-5046		GO:0005737 // GO:0005829 // GO:0005886 // GO:0005618	GO:0004739 // GO:0031405 // GO:0016407 // GO:0043754 // GO:0016746 // GO:0016740	bkdC // Rv2495c
G185E-6273	TU185E-6227		GO:0017001 // GO:0046677 // GO:0030655	GO:0030288 // GO:0042597 // GO:0016020 // GO:0005886 // GO:0005576	GO:0033251 // GO:0033250 // GO:0016787 // GO:0008800	blaC // Rv2068c
