Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-4481	TU185E-5338	PWY-7229 // PWY-6126 // PWY-7219	GO:0046040 // GO:0044208 // GO:0040007 // GO:0006164	GO:0005829 // GO:0005737	GO:0000287 // GO:0046872 // GO:0016874 // GO:0005525 // GO:0004019 // GO:0000166	purA // Rv0357c
G185E-4925	TU185E-5566	PWY-7229 // PWY-6126 // PWY-7219	GO:0009168 // GO:0044208 // GO:0009152 // GO:0006189 // GO:0006164	GO:0005737 // GO:0005829	GO:0070626 // GO:0016829 // GO:0004018 // GO:0003824	purB // Rv0777
G185E-4928	TU185E-5567		GO:0040007 // GO:0006189 // GO:0006164	GO:0005737 // GO:0005829	GO:0016874 // GO:0005524 // GO:0004639 // GO:0000166	purC // Rv0780
G185E-4920	TU185E-5563	PWY-6277 // PWY-6121 // PWY-6122	GO:0040007 // GO:0009113 // GO:0006189 // GO:0006164	GO:0005829	GO:0046872 // GO:0016874 // GO:0005524 // GO:0004637 // GO:0000166	purD // Rv0772
G185E-7549	TU185E-6854		GO:0040007 // GO:0006189 // GO:0006164		GO:0034023 // GO:0016853	purE // Rv3275c
G185E-4957	TU185E-5580	PWY-6277 // PWY-6121 // PWY-6122	GO:0040007 // GO:0009116 // GO:0009113 // GO:0006541 // GO:0006189 // GO:0006164	GO:0005829	GO:0000287 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016757 // GO:0016740 // GO:0004044	purF // Rv0808
G185E-5112	TU185E-5660		GO:0040007 // GO:0008152 // GO:0006189 // GO:0006164	GO:0005829 // GO:0005886	GO:0016787 // GO:0016740 // GO:0004643 // GO:0003937 // GO:0003824	purH // Rv0957
G185E-7550	TU185E-6854		GO:0006189 // GO:0006164	GO:0005886 // GO:0005829	GO:0046872 // GO:0034028 // GO:0016874 // GO:0005524 // GO:0004638 // GO:0000166	purK // Rv3276c
G185E-4952	TU185E-5577	PWY-6277 // PWY-6121 // PWY-6122	GO:0040007 // GO:0006189 // GO:0006164	GO:0005829 // GO:0005737	GO:0000287 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004642 // GO:0000166	purL // Rv0803
G185E-4958	TU185E-5580	PWY-6277 // PWY-6121 // PWY-6122	GO:0046084 // GO:0006189 // GO:0006164	GO:0005829 // GO:0005737	GO:0046872 // GO:0004637 // GO:0016874 // GO:0005524 // GO:0004641 // GO:0000166	purM // Rv0809
G185E-5111	TU185E-5660	PWY-6277 // FOLSYN-PWY // PWY-6121 // PWY-6613	GO:0046653 // GO:0009058 // GO:0006189 // GO:0006164	GO:0005737 // GO:0005829	GO:0046872 // GO:0016742 // GO:0016740 // GO:0005515 // GO:0004644 // GO:0000287	purN // Rv0956
G185E-4937	TU185E-5571	PWY-6277 // PWY-6121 // PWY-6122	GO:0040007 // GO:0006541 // GO:0006189 // GO:0006164	GO:0005829 // GO:0005886 // GO:0005737	GO:0016874 // GO:0016787 // GO:0005524 // GO:0004642 // GO:0004359 // GO:0000166	purQ // Rv0788
G185E-4513	TU185E-5357	PWY-6277 // PWY-6122	GO:0009152 // GO:0006164	GO:0005886 // GO:0005829	GO:0046872 // GO:0016742 // GO:0016740 // GO:0005524 // GO:0004644 // GO:0000287 // GO:0000166	purT // Rv0389
G185E-7218	TU185E-6701	PWY-7909	GO:0009058 // GO:0006730 // GO:0006189 // GO:0006164	GO:0005829	GO:0016787 // GO:0016742 // GO:0008864	purU // Rv2964
G185E-5805	TU185E-5997	GLYCOLYSIS	GO:0040007 // GO:0016310 // GO:0006096	GO:0005737 // GO:0005886 // GO:0005829	GO:0046872 // GO:0030955 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004743 // GO:0003824 // GO:0000287 // GO:0000166	pykA // Rv1617
G185E-5563	TU185E-5895	PWY-7211 // PWY0-162 // PWY-5686	GO:0006807 // GO:0009220 // GO:0044205 // GO:0040007 // GO:0006520 // GO:0006221 // GO:0006207	GO:0005737 // GO:0005886 // GO:0005829 // GO:0005618	GO:0016743 // GO:0016740 // GO:0016597 // GO:0004070	pyrB // Rv1380
G185E-5564	TU185E-5895	PWY-7211 // PWY0-162 // PWY-5686	GO:0006145 // GO:0044205 // GO:0040007 // GO:0006221	GO:0005737 // GO:0005829	GO:0008270 // GO:0004038 // GO:0046872 // GO:0016812 // GO:0016810 // GO:0016787 // GO:0004151	pyrC // Rv1381
G185E-6345	TU185E-6263	PWY-7211 // PWY0-162 // PWY-5686	GO:0009220 // GO:0044205 // GO:0006221 // GO:0006207	GO:0016020 // GO:0005886 // GO:0005737	GO:0016627 // GO:0016491 // GO:0004152 // GO:0003824	pyrD // Rv2139
G185E-4506	TU185E-5350	PWY-7211 // PWY0-162 // PWY-5686	GO:0019856 // GO:0006222 // GO:0044205 // GO:0009116 // GO:0006221		GO:0000287 // GO:0016757 // GO:0016740 // GO:0004588	pyrE // umpA // Rv0382c
G185E-5568	TU185E-5895	PWY-7211 // PWY0-162 // PWY-5686	GO:0044205 // GO:0006221 // GO:0006207		GO:0016831 // GO:0016829 // GO:0004590 // GO:0003824	pyrF // Rv1385
G185E-5890	TU185E-6033	PWY0-162 // PWY-7208 // PWY-7211 // PWY-7176 // GLUTAMINDEG-PWY // PWY490-4 // PWY-5921	GO:0019856 // GO:0006241 // GO:0044210 // GO:0040007 // GO:0006541 // GO:0006221	GO:0005829 // GO:0005886	GO:0042802 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0003883 // GO:0000166	pyrG // Rv1699
G185E-7135	TU185E-6666	PWY0-162 // PWY-7208 // PWY-7211 // PWY-7176	GO:0046940 // GO:0044210 // GO:0040007 // GO:0016310 // GO:0006225 // GO:0006221	GO:0005829 // GO:0005886 // GO:0005737	GO:0033862 // GO:0016740 // GO:0016301 // GO:0009041 // GO:0005524 // GO:0000287 // GO:0000166	pyrH // Rv2883c
G185E-5562	TU185E-5895		GO:0009116 // GO:0006355	GO:0005829 // GO:0005618	GO:0016757 // GO:0016740 // GO:0004845	pyrR // Rv1379
G185E-6405	TU185E-6293		GO:0040007	GO:0070469 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005618	GO:0051537 // GO:0051536 // GO:0046872 // GO:0016491	qcrA // Rv2195
G185E-6406	TU185E-6293		GO:1902600 // GO:0040007 // GO:0022904	GO:0031224 // GO:0009535 // GO:0070469 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0008121 // GO:0046872 // GO:0016491 // GO:0009055	qcrB // Rv2196
G185E-6404	TU185E-6293		GO:1902600 // GO:0022900 // GO:0040007	GO:0070469 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0008121 // GO:0046872 // GO:0020037 // GO:0009055 // GO:0005506	qcrC // Rv2194
G185E-5637	TU185E-7511		GO:0034599	GO:0005737 // GO:0005829 // GO:0005886 // GO:0005618 // GO:0005576	GO:0035925 // GO:0000166 // GO:0003960 // GO:0016491	qor // Rv1454c
G185E-7863	TU185E-7005		GO:0000725 // GO:0006974 // GO:0006281	GO:0005829	GO:0016787 // GO:0046872 // GO:0008094 // GO:0005524 // GO:0003684 // GO:0003677 // GO:0000166	radA // Rv3585
G185E-7089	TU185E-6643		GO:0030490 // GO:0042254 // GO:0006364	GO:0005829 // GO:0005737	GO:0043024	rbfA // Rv2838c
G185E-6254	TU185E-7440		GO:0045893	GO:0005618 // GO:0005829	GO:0005515 // GO:0001108 // GO:0001000	rbpA // Rv2050
G185E-6667	TU185E-6436		GO:0019303 // GO:0005975 // GO:0046835 // GO:0016310 // GO:0006014	GO:0005737 // GO:0005829	GO:0016772 // GO:0019200 // GO:0005524 // GO:0046872 // GO:0016740 // GO:0016301 // GO:0004747 // GO:0000166	rbsK // Rv2436
G185E-6985	TU185E-6593		GO:0090305 // GO:0046677 // GO:0042148 // GO:0016539 // GO:0009650 // GO:0009432 // GO:0006974 // GO:0006314 // GO:0006310 // GO:0006281 // GO:0006259 // GO:0000725	GO:0005829 // GO:0005737	GO:0003684 // GO:0030145 // GO:0016887 // GO:0016787 // GO:0008094 // GO:0005524 // GO:0005515 // GO:0004520 // GO:0004519 // GO:0004518 // GO:0003697 // GO:0003677 // GO:0000287 // GO:0000166 // GO:0000150	recA // Rv2737c
G185E-4768	TU185E-5488		GO:0000725 // GO:0000724 // GO:0090305 // GO:0032508 // GO:0006974 // GO:0006281	GO:0009338 // GO:0005886 // GO:0005829 // GO:0005618	GO:0003678 // GO:0043138 // GO:0000287 // GO:0046872 // GO:0016787 // GO:0008854 // GO:0005524 // GO:0004527 // GO:0004518 // GO:0004386 // GO:0003677 // GO:0000166	recB // Rv0630c
G185E-4769	TU185E-5488		GO:0000724 // GO:0090305 // GO:0032508 // GO:0006974 // GO:0006310 // GO:0006302 // GO:0006281	GO:0009338 // GO:0005886 // GO:0005618 // GO:0005576	GO:0003678 // GO:0016787 // GO:0008854 // GO:0005524 // GO:0004527 // GO:0004519 // GO:0004518 // GO:0004386 // GO:0003677 // GO:0000166	recC // Rv0631c
G185E-4767	TU185E-5488		GO:0032508 // GO:0000724 // GO:0090305 // GO:0006974 // GO:0006310 // GO:0006302 // GO:0006281	GO:0009338 // GO:0005886 // GO:0005829 // GO:0005618	GO:0043139 // GO:0017116 // GO:0003678 // GO:0016787 // GO:0008854 // GO:0005524 // GO:0004527 // GO:0004518 // GO:0004386 // GO:0003677 // GO:0000166	recD // Rv0629c
G185E-4114	TU185E-5157		GO:0009432 // GO:0006974 // GO:0006302 // GO:0006281 // GO:0006260 // GO:0000731	GO:0005886 // GO:0005829 // GO:0005737	GO:0005524 // GO:0003697 // GO:0003677 // GO:0000166	recF // Rv0003
G185E-7228	TU185E-6707		GO:0032508 // GO:0010501 // GO:0006974 // GO:0006310 // GO:0006281	GO:0005737 // GO:0005829 // GO:0005886	GO:0016887 // GO:0003678 // GO:0016787 // GO:0005524 // GO:0004386 // GO:0003724 // GO:0003677 // GO:0003676 // GO:0000166	recG // Rv2973c
G185E-5887	TU185E-6031		GO:0009432 // GO:0009314 // GO:0000724 // GO:0006974 // GO:0006310 // GO:0006281	GO:0005829 // GO:0005618	GO:0005524 // GO:0000166	recN // Rv1696
G185E-6588	TU185E-6396		GO:0006302 // GO:0006974 // GO:0006310 // GO:0006281	GO:0043590 // GO:0005829 // GO:0005618		recO // Rv2362c
G185E-8002	TU185E-7081		GO:0006974 // GO:0006310 // GO:0006281	GO:0005829	GO:0046872 // GO:0003677	recR // Rv3715c
G185E-6984	TU185E-6593		GO:0006282	GO:0005886 // GO:0005737		recX // Rv2736c
G185E-4620	TU185E-5415		GO:0045893 // GO:0080134 // GO:0019220 // GO:0019217 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829	GO:0001216 // GO:0000976 // GO:0003700 // GO:0000156 // GO:0003677	regX3 // Rv0491
G185E-6825	TU185E-6509	PPGPPMET-PWY	GO:0016310 // GO:0015970 // GO:0015969 // GO:0015968	GO:0005829 // GO:0005886 // GO:0005618	GO:0046872 // GO:0030145 // GO:0016787 // GO:0016740 // GO:0016301 // GO:0008893 // GO:0008728 // GO:0005525 // GO:0005524 // GO:0000166	relA // Rv2583c
G185E-5418	TU185E-5823		GO:0045927	GO:0005829	GO:0097351 // GO:0005515 // GO:0003677	relB // relB1 // Rv1247c
G185E-5417	TU185E-5823		GO:0090305 // GO:0045926 // GO:0006401		GO:0016787 // GO:0005515 // GO:0004519 // GO:0004518 // GO:0003677	relE // relE1 // Rv1246c
G185E-7117	TU185E-6656		GO:0045927 // GO:0006355		GO:0097351 // GO:0005515 // GO:0003677	relF // relB2 // Rv2865
G185E-7118	TU185E-6656		GO:0090305 // GO:0045926 // GO:0045892 // GO:0006401		GO:0016787 // GO:0005515 // GO:0004519 // GO:0004518 // GO:0003677	relG // relE2 // Rv2866
G185E-7633	TU185E-6895		GO:0006355		GO:0005515 // GO:0003677	relJ // relB3 // yefM // Rv3357
G185E-7634	TU185E-6895		GO:1903507 // GO:0090502 // GO:0045947 // GO:0090305 // GO:0045892 // GO:0006401		GO:0043024 // GO:0016892 // GO:0003714 // GO:0016787 // GO:0005515 // GO:0004519 // GO:0004518 // GO:0003677	relK // relE3 // yoeB // Rv3358
G185E-8079	TU185E-7123		GO:0015920	GO:0005886 // GO:0016021 // GO:0016020		rfbD // Rv3783
G185E-8077	TU185E-7123		GO:0055085 // GO:0040007	GO:0016020 // GO:0005886	GO:0140359 // GO:0000166 // GO:0005524	rfbE // Rv3781
G185E-7482	TU185E-6820		GO:0000027 // GO:0010501	GO:0005840 // GO:0005737 // GO:0005829 // GO:0005618	GO:0008094 // GO:0016887 // GO:0033592 // GO:0003723 // GO:0016787 // GO:0005524 // GO:0004386 // GO:0003724 // GO:0003676 // GO:0000166	rhlE // Rv3211
G185E-5471	TU185E-5853		GO:0040007 // GO:0006363 // GO:0006353	GO:0005829 // GO:0005886 // GO:0005618	GO:0016787 // GO:0008186 // GO:0005524 // GO:0004386 // GO:0003723 // GO:0003676 // GO:0000166	rho // Rv1297
G185E-6137	TU185E-6166	RIBOSYN2-PWY	GO:0009231	GO:0005829	GO:0016829 // GO:0003824 // GO:0003935 // GO:0046872 // GO:0016787 // GO:0008686	ribA1 // ribA // Rv1940
G185E-5598	TU185E-5911	RIBOSYN2-PWY	GO:0040007 // GO:0009231 // GO:0008152	GO:0005829 // GO:0005576	GO:0030145 // GO:0008270 // GO:0000287 // GO:0046872 // GO:0016829 // GO:0016787 // GO:0008686 // GO:0005525 // GO:0003935 // GO:0003824 // GO:0000166	ribA2 // Rv1415
G185E-5595	TU185E-5909	RIBOSYN2-PWY	GO:0009231	GO:0005829	GO:0016740 // GO:0004746	ribC // Rv1412
G185E-6919	TU185E-6559		GO:0009231	GO:0005829	GO:0000166 // GO:0008703	ribD // ribG // Rv2671
G185E-7035	TU185E-6620	P381-PWY // PWY-5523 // RIBOSYN2-PWY	GO:0006771 // GO:0016310 // GO:0009398 // GO:0009231 // GO:0006747	GO:0005829	GO:0016779 // GO:0016740 // GO:0016301 // GO:0000166 // GO:0008531 // GO:0005524 // GO:0003919	ribF // Rv2786c
G185E-5592	TU185E-5907	RIBOSYN2-PWY	GO:0009451 // GO:0040007 // GO:0009231 // GO:0008152	GO:0005886 // GO:0005829	GO:0046872 // GO:0016787 // GO:0016491 // GO:0008835 // GO:0008703 // GO:0008270 // GO:0003824	ribG // ribD // Rv1409
G185E-5599	TU185E-5911	RIBOSYN2-PWY	GO:0040007 // GO:0009231	GO:0009349 // GO:0005829	GO:0016740 // GO:0000906	ribH // Rv1416
G185E-4309	TU185E-5257		GO:0046688 // GO:0045892 // GO:0006355	GO:0032993 // GO:0005737	GO:0001217 // GO:0000976 // GO:0046872 // GO:0003677	ricR // Rv0190
G185E-7697	TU185E-6927		GO:0017189 // GO:0010125 // GO:0006474	GO:0005829	GO:0035447 // GO:0016747 // GO:0008999 // GO:0016746 // GO:0005515 // GO:0016740 // GO:0008080 // GO:0004596	rimI // Rv3420c
G185E-5152	TU185E-5683			GO:0005737 // GO:0005829	GO:0008999 // GO:0016740 // GO:0008080	rimJ // Rv0995
G185E-7159	TU185E-6675		GO:0042274 // GO:0042254 // GO:0040007 // GO:0006364	GO:0005829 // GO:0005840 // GO:0005737	GO:0043022	rimM // Rv2907c
G185E-7093	TU185E-6645		GO:0042274 // GO:0042254 // GO:0006412 // GO:0000028	GO:0005886 // GO:0005829 // GO:0005737		rimP // Rv2842c
G185E-7121	TU185E-6658		GO:0040007 // GO:0006508	GO:0016021 // GO:0016020 // GO:0005886	GO:0004175 // GO:0046872 // GO:0016787 // GO:0008237 // GO:0008233 // GO:0004222	rip // Rv2869c
G185E-5661	TU185E-5934		GO:0071554 // GO:0071555 // GO:0040007 // GO:0006508	GO:0005618 // GO:0005576	GO:0016787 // GO:0008745 // GO:0008234 // GO:0008233 // GO:0005515	ripA // Rv1477
G185E-7132	TU185E-6665		GO:0070475 // GO:0032259 // GO:0030488 // GO:0008033 // GO:0006364	GO:0005886 // GO:0005737 // GO:0005618	GO:0019843 // GO:0002935 // GO:0000049 // GO:0070040 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016740 // GO:0008649 // GO:0008175 // GO:0008173 // GO:0008168 // GO:0003824	rlmN // Rv2880c
G185E-4458	TU185E-5329	PWY-6404 // DTDPRHAMSYN-PWY	GO:0046075 // GO:0045226 // GO:0040007 // GO:0019305 // GO:0009058 // GO:0006006	GO:0005886 // GO:0005618	GO:0000287 // GO:0046872 // GO:0016779 // GO:0016740 // GO:0008879	rmlA // rfbA // Rv0334
G185E-7741	TU185E-6953	PWY-6404 // DTDPRHAMSYN-PWY	GO:0045226 // GO:0040007 // GO:0019305 // GO:0009225	GO:0005829 // GO:0005618	GO:0070404 // GO:0016829 // GO:0008460	rmlB // rfbB // Rv3464
G185E-7742	TU185E-6953	PWY-6404 // DTDPRHAMSYN-PWY	GO:0033692 // GO:0005975 // GO:0045226 // GO:0040007 // GO:0019305	GO:0005829	GO:0016854 // GO:0016853 // GO:0008830 // GO:0005515	rmlC // rfbC // Rv3465
G185E-7540	TU185E-6850	PWY-6404 // DTDPRHAMSYN-PWY	GO:0005975 // GO:0045226 // GO:0019305	GO:0005829	GO:0046872 // GO:0016491 // GO:0008831	rmlD // Rv3266c
G185E-7178	TU185E-6685		GO:0010468 // GO:0090501 // GO:0090305 // GO:0090502 // GO:0040007 // GO:0016075 // GO:0008033 // GO:0006397 // GO:0006396 // GO:0006364	GO:0005829 // GO:0005737	GO:0003725 // GO:0046872 // GO:0016787 // GO:0004525 // GO:0004519 // GO:0004518 // GO:0003723	rnc // Rv2925c
G185E-6676	TU185E-6440	PWY0-1479	GO:0090501 // GO:0040007 // GO:0006396 // GO:0006364	GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0046872 // GO:0016787 // GO:0004540 // GO:0003723 // GO:0003676	rne // Rv2444c
G185E-7154	TU185E-6673		GO:0006401 // GO:0043137 // GO:0006298 // GO:0090502 // GO:0090305	GO:0032299 // GO:0005829 // GO:0005737	GO:0030145 // GO:0046872 // GO:0016787 // GO:0004523 // GO:0004519 // GO:0004518 // GO:0003723 // GO:0003676	rnhB // Rv2902c
G185E-7001	TU185E-6602		GO:0090503 // GO:0090502 // GO:0090501 // GO:0006396 // GO:0006364	GO:0005829 // GO:0005737	GO:0046872 // GO:0016787 // GO:0008800 // GO:0008270 // GO:0004534 // GO:0004527 // GO:0004521 // GO:0004519 // GO:0004518 // GO:0003723	rnj // Rv2752c
G185E-8221	TU185E-7190	PWY0-1479	GO:0034414 // GO:0001682 // GO:0040007 // GO:0008033	GO:0030677 // GO:0005829	GO:0042781 // GO:0016787 // GO:0004526 // GO:0004519 // GO:0004518 // GO:0003723 // GO:0000049	rnpA // Rv3923c
G185E-6438	TU185E-7411					rnpB
G185E-6637	TU185E-6419		GO:0034414 // GO:0090502 // GO:0042779 // GO:0008033		GO:0004065 // GO:0042781 // GO:0046872 // GO:0016891 // GO:0016787 // GO:0004519 // GO:0004518	rnz // Rv2407
G185E-6546	TU185E-6369	PWY-3341	GO:0055129 // GO:0009447		GO:0050155 // GO:0004587 // GO:0033094 // GO:0042802 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	rocD1 // Rv2322c
G185E-6545	TU185E-6369	PWY-3341	GO:0055129		GO:0050155 // GO:0042802 // GO:0004587 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	rocD2 // Rv2321c
G185E-6544	TU185E-6369		GO:0006865 // GO:0055085 // GO:0003333	GO:0005886 // GO:0016021 // GO:0016020 // GO:0005576	GO:0022857 // GO:0015171 // GO:0005215	rocE // Rv2320c
G185E-4130	TU185E-5164	PWY0-1586 // PWY-6385	GO:0071555 // GO:0052559 // GO:0015836 // GO:0008360 // GO:0009252 // GO:0051301	GO:0032153 // GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0016740 // GO:0016757 // GO:0015648 // GO:0008955 // GO:0005515	rodA // MTCY10H4.17c // Rv0017c
G185E-5591	TU185E-5907	PENTOSE-P-PWY // NONOXIPENT-PWY	GO:0044262 // GO:0019323 // GO:0009052 // GO:0006098 // GO:0005975	GO:0005829	GO:0046872 // GO:0016857 // GO:0016853 // GO:0004750 // GO:0003824	rpe // Rv1408
G185E-5021	TU185E-5614		GO:0040010 // GO:0010629	GO:0005576	GO:0016787	rpfA // Rv0867c
G185E-5167	TU185E-5690		GO:0085016 // GO:0040010 // GO:0010629 // GO:0010628	GO:0030288 // GO:0016020 // GO:0005886 // GO:0005576	GO:0016787 // GO:0005515	rpfB // Rv1009
G185E-6079	TU185E-6142		GO:0040010 // GO:0010629 // GO:0010628	GO:0005576	GO:0016787	rpfC // Rv1884c
G185E-6615	TU185E-6410		GO:0085016 // GO:0040010 // GO:0010629 // GO:0010628	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0016787	rpfD // Rv2389c
G185E-6682	TU185E-6444		GO:0040010 // GO:0010629 // GO:0010628	GO:0005576	GO:0016787	rpfE // Rv2450c
G185E-5519	TU185E-5874	PWY0-1479	GO:0090503 // GO:0006364 // GO:0016075 // GO:0008033	GO:0005829 // GO:0005886	GO:0003723 // GO:0000175 // GO:0016779 // GO:0016740 // GO:0009022 // GO:0000049	rphA // Rv1340
G185E-6699	TU185E-6453	PENTOSE-P-PWY // NONOXIPENT-PWY	GO:0019316 // GO:0009052 // GO:0006098 // GO:0005975	GO:0005829 // GO:0005576	GO:0016853 // GO:0005515 // GO:0004751	rpiB // Rv2465c
G185E-4784	TU185E-5498		GO:0000470 // GO:0006417 // GO:0006412	GO:0022625 // GO:0015934 // GO:0005886 // GO:0005840 // GO:0005829 // GO:0005618	GO:0019843 // GO:0003735 // GO:0003723 // GO:0000049	rplA // Rv0641
G185E-4848	TU185E-5530		GO:0040007 // GO:0006412 // GO:0002181	GO:0005829 // GO:0022625 // GO:0015934 // GO:0005886 // GO:0005840	GO:0019843 // GO:0016740 // GO:0003735 // GO:0003723	rplB // Rv0704
G185E-4845	TU185E-5529		GO:0040007 // GO:0006412	GO:0022625 // GO:0005886 // GO:0005840 // GO:0005829	GO:0019843 // GO:0003735 // GO:0003723	rplC // Rv0701
G185E-4846	TU185E-5529		GO:0040007 // GO:0006412	GO:0022626 // GO:0005886 // GO:0005840 // GO:0005829	GO:0019843 // GO:0003735 // GO:0003723	rplD // Rv0702
G185E-4860	TU185E-5534		GO:0040007 // GO:0006412 // GO:0000027	GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840	GO:0019843 // GO:0003735 // GO:0003723 // GO:0000049	rplE // Rv0716
G185E-4863	TU185E-5535		GO:0040007 // GO:0006412 // GO:0002181	GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840 // GO:0005618	GO:0019843 // GO:0003735 // GO:0003723	rplF // Rv0719
G185E-4170	TU185E-5189		GO:0006412	GO:0022625 // GO:0005886 // GO:0005840 // GO:0005829 // GO:0005618	GO:0019843 // GO:0003735 // GO:0003723	rplI // Rv0056
G185E-4794	TU185E-5502		GO:0042254 // GO:0040007 // GO:0006412	GO:0015934 // GO:0022625 // GO:0005829 // GO:0005886 // GO:0005840 // GO:0005618	GO:0070180 // GO:0005515 // GO:0019843 // GO:0003735 // GO:0003723	rplJ // Rv0651
G185E-4783	TU185E-5497		GO:0040007 // GO:0006412 // GO:0000027	GO:0015934 // GO:0005829 // GO:0022625 // GO:0005840 // GO:0005618	GO:0070180 // GO:0019843 // GO:0003735 // GO:0003723	rplK // Rv0640
G185E-4795	TU185E-5502		GO:0040007 // GO:0006412	GO:0022625 // GO:0005886 // GO:0005840 // GO:0005829 // GO:0005618	GO:0005515 // GO:0003735	rplL // L7|L12 // Rv0652
G185E-7720	TU185E-6940		GO:0017148 // GO:0040007 // GO:0006412	GO:0022625 // GO:0005886 // GO:0005840 // GO:0005829 // GO:0005618	GO:0003735 // GO:0003729	rplM // Rv3443c
G185E-4858	TU185E-5534		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0015934 // GO:0005886 // GO:0005840	GO:0070180 // GO:0019843 // GO:0003735 // GO:0003723	rplN // Rv0714
G185E-4867	TU185E-5535		GO:0006412	GO:0005829 // GO:0022625 // GO:0015934 // GO:0005886 // GO:0005840	GO:0019843 // GO:0003735 // GO:0003723	rplO // Rv0723
G185E-4852	TU185E-5530		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840	GO:0019843 // GO:0003735 // GO:0003723 // GO:0000049	rplP // Rv0708
G185E-7733	TU185E-6949		GO:0006412	GO:0015934 // GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840 // GO:0005618	GO:0003735	rplQ // Rv3456c
G185E-4864	TU185E-5535		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0005840	GO:0019843 // GO:0008097 // GO:0003735 // GO:0003723	rplR // Rv0720
G185E-7156	TU185E-6674		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840	GO:0003735	rplS // Rv2904c
G185E-5833	TU185E-6011		GO:0000027 // GO:0006412	GO:0022625 // GO:0005829 // GO:0005886 // GO:0005840	GO:0019843 // GO:0003735 // GO:0003723	rplT // Rv1643
G185E-6674	TU185E-6439		GO:0040007 // GO:0006412	GO:0005829 // GO:0005886 // GO:0005840	GO:0019843 // GO:0003735 // GO:0003723	rplU // Rv2442c
G185E-4850	TU185E-5530		GO:0042255 // GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0015934 // GO:0005840 // GO:0005618	GO:0019843 // GO:0003735 // GO:0003723	rplV // Rv0706
G185E-4847	TU185E-5529		GO:0040007 // GO:0006412 // GO:0000027	GO:0022625 // GO:0005886 // GO:0005840 // GO:0005829	GO:0019843 // GO:0003735 // GO:0003723	rplW // Rv0703
G185E-4859	TU185E-5534		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0005840 // GO:0005618	GO:0019843 // GO:0003735 // GO:0003723	rplX // Rv0715
G185E-5173	TU185E-5694		GO:0006412	GO:0022625 // GO:0005840 // GO:0005829	GO:0019843 // GO:0008097 // GO:0003735 // GO:0003723	rplY // Rv1015c
G185E-6673	TU185E-6439		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0005886 // GO:0005840 // GO:0005618	GO:0003735	rpmA // Rv2441c
G185E-4222	TU185E-7712		GO:0006412	GO:0005829 // GO:0022625 // GO:0005840	GO:0003735	rpmB1 // Rv0105c
G185E-6262	TU185E-6221		GO:0006412	GO:0005829 // GO:0022625 // GO:0005840	GO:0003735	rpmB2 // Rv2058c
G185E-4853	TU185E-5530		GO:0040007 // GO:0006412	GO:0022625 // GO:0005840	GO:0003735	rpmC // Rv0709
G185E-4866	TU185E-5535		GO:0040007 // GO:0006412	GO:0005829 // GO:0022625 // GO:0015934 // GO:0005840	GO:0003735	rpmD // Rv0722
G185E-5472	TU185E-5854		GO:0040007 // GO:0006412	GO:0005829 // GO:0005840	GO:0046872 // GO:0019843 // GO:0003735 // GO:0003723	rpmE // Rv1298
G185E-5136	TU185E-7584		GO:0006412	GO:0005829 // GO:0015934 // GO:0005840	GO:0003735	rpmF // Rv0979A
G185E-6261	TU185E-6221		GO:0000027 // GO:0006412	GO:0015934 // GO:0005829 // GO:0022625 // GO:0005840	GO:0003735	rpmG1 // rpmG // Rv2057c
G185E-4776	TU185E-5493		GO:0006412	GO:0005829 // GO:0005840	GO:0003735	rpmG2 // Rv0634B
G185E-8222	TU185E-7190		GO:0006412	GO:0005829 // GO:0005840	GO:0003735	rpmH // Rv3924c
G185E-5832	TU185E-6010		GO:0006412	GO:0015934 // GO:0022625 // GO:0005829 // GO:0005840	GO:0003735	rpmI // Rv1642
