sample	tb_profiler_strain	mixed_strain
ERR473309	lineage4.3.4.2.1	no
ERR473310	lineage4.3.4.2.1	no
ERR473311	NA	NA
ERR473312	lineage4.3.4.2.1	no
ERR473313	lineage4.3.4.2.1	no
ERR473314	NA	NA
ERR473315	lineage4.3.4.2.1	no
ERR473316	lineage4.3.4.2.1	no
ERR473317	lineage4.3.4.2.1	no
ERR473318	lineage4.3.4.2;lineage1.1.3.2	yes
ERR473319	lineage4.3.4.2.1	no
ERR473320	lineage1.1.2	no
ERR473321	lineage4.3.4.2.1	no
ERR473322	lineage4.1.2.1;lineage4.1.1.3	yes
ERR473323	lineage2.1	no
ERR473324	lineage4.1.2	no
ERR473325	lineage4.3.4.2.1	no
ERR473326	lineage2.2.1	no
ERR473327	lineage4.3.3	no
ERR473328	lineage4.3.4.2.1	no
ERR473329	lineage4.3.4.2.1	no
ERR473330	lineage4.9	no
ERR473331	lineage3	no
ERR473332	NA	NA
ERR473333	lineage4.3.4.2.1	no
ERR473334	lineage9;lineage4.9	yes
ERR473335	lineage4.3.4.2.1	no
ERR473336	lineage4.1.2	no
ERR473337	lineage4.1.2	no
ERR473338	lineage4.3.4.2.1	no
ERR473339	lineage4.3.4.2.1	no
ERR473340	lineage1.1.2	no
ERR473341	lineage4.1.1.3	no
ERR473342	lineage4.3.4.2.1	no
ERR473343	lineage3.1.1	no
ERR473344	lineage4.1.2	no
ERR473345	lineage1.1.3.2	no
ERR473346	lineage1.1.3.2	no
ERR473347	lineage4.9	no
ERR473348	lineage4.1.1.3	no
ERR473349	lineage1.1.3.2	no
ERR473350	lineage4.3.4.2.1	no
ERR473351	lineage4.1.2	no
ERR473352	lineage1.1.2	no
ERR473353	lineage1.1.2	no
ERR473354	lineage4.3.4.2	no
ERR473355	lineage4.3.4.2.1	no
ERR473356	lineage4.3.4.2	no
ERR473357	lineage3.1.1	no
ERR473358	lineage4.3.4.2	no
ERR473359	lineage4.3.4.2;lineage3.1.1	yes
ERR473360	lineage4.1.2	no
ERR473361	lineage4.3.4.2.1	no
ERR473362	lineage4.3.4.2.1	no
ERR473363	lineage4.3.4.2.1	no
ERR473364	lineage4.3.4.2.1	no
ERR473365	lineage4.3.4.2.1	no
ERR473366	lineage1.1.2	no
ERR473367	NA	NA
ERR473368	lineage4.3.4.1	no
ERR473369	lineage4.1.2	no
ERR484739	lineage3	no
ERR484740	lineage4.9	no
ERR484741	lineage4.1.1.1	no
ERR484742	lineage1.2.1.1	no
ERR484743	lineage4.6.1.1	no
ERR484744	lineage1.2.1.2.1	no
ERR484745	lineage3	no
ERR484746	lineage4.1.2.1	no
ERR484747	lineage3	no
ERR484748	lineage3	no
ERR485006	NA	NA
ERR485007	lineage4.3.4.2.1	no
ERR4896313	lineage2.2.1	no
ERR4896314	lineage2.2.1	no
ERR4896315	lineage4.1.1.3	no
ERR4896316	lineage2.2.1	no
ERR4896317	lineage4.4.1.1	no
ERR4896318	lineage2.2.1	no
ERR4896319	lineage2.2.1	no
ERR4896320	lineage2.2.1	no
ERR4896321	lineage2.2.1	no
