sample	tb_profiler_strain	mixed_strain
ERR266545	lineage1.1.2	no
ERR266546	lineage3.1.1	no
ERR266547	lineage3	no
ERR266548	lineage3.1.2.1	no
ERR266549	lineage4.1.1.1	no
ERR266550	lineage3	no
ERR266551	lineage4.6.3	no
ERR266552	lineage4.6.3	no
ERR266553	lineage2.2.1	no
ERR266554	lineage3	no
ERR266555	lineage3	no
ERR266556	lineage3	no
ERR266557	lineage3.1.2	no
ERR266558	lineage3	no
ERR266559	lineage3.1.2	no
ERR266560	lineage3	no
ERR266561	lineage3	no
ERR266562	lineage4.6.3	no
ERR266563	lineage4.8	no
ERR266564	lineage4.1.2.1	no
ERR266565	lineage1.1.2	no
ERR266566	lineage4.6.3	no
ERR266567	lineage1.2.2.1	no
ERR266568	lineage3	no
ERR266569	lineage3.1.1	no
ERR266570	lineage3	no
ERR266571	lineage4.7	no
ERR266572	lineage4.6.3	no
ERR266573	lineage1.1.2	no
ERR266574	lineage3.1.2.1	no
ERR266575	lineage3	no
ERR266576	lineage4.3.4.2	no
ERR266577	lineage4.1.1.3.1	no
ERR266578	lineage1.2.2.2	no
ERR266579	lineage1.1.2	no
ERR266580	lineage4.8.2	no
ERR266581	lineage3	no
ERR266582	lineage4.8.2	no
ERR266583	lineage4.3.1.1	no
ERR266584	lineage2.2.1.1	no
ERR266585	lineage4.1.2.1	no
ERR266586	lineage4.9	no
ERR266587	lineage3.1.2	no
ERR266588	lineage3	no
ERR266589	lineage4.2.2.2	no
ERR266590	lineage3	no
ERR266591	lineage3	no
ERR266592	lineage4.3.3	no
ERR266593	lineage1.1.2	no
ERR266594	lineage4.6.2.2	no
ERR266595	lineage2.2.1	no
ERR266596	lineage4.4	no
ERR266597	lineage3.1.2	no
ERR266598	lineage4.7	no
ERR266599	lineage3.1.3	no
ERR266600	lineage3	no
ERR266601	lineage1.2.1.1	no
ERR266602	lineage4.8	no
ERR266603	lineage4.5	no
ERR266604	lineage4.9	no
ERR266605	lineage4.5	no
ERR266606	lineage4.1.2.1	no
ERR266607	lineage4.1.2.1	no
ERR266608	lineage4.2.2.2	no
ERR266609	lineage4;lineage3	yes
ERR266610	lineage4.8	no
ERR266611	lineage4.1.2.1	no
ERR266612	lineage3	no
ERR266613	lineage3	no
ERR266614	lineage4.1.1.3	no
ERR270614	lineage3	no
ERR270615	lineage4.3.4.2.1	no
ERR270616	lineage3.1.2.2	no
ERR270617	lineage3	no
ERR270618	lineage4.4	no
ERR270619	lineage3	no
ERR270620	lineage4.1.1.3.1	no
ERR270621	lineage3	no
ERR270622	lineage4.5	no
ERR270623	lineage3	no
ERR270624	lineage4.4.2	no
ERR270625	lineage4.4.2	no
ERR270626	lineage3	no
ERR270627	lineage2.2.1	no
ERR270628	lineage4.8.2	no
ERR270629	lineage4.1.2.1	no
ERR270630	lineage2.2.1	no
ERR270631	lineage4.9	no
ERR270632	lineage4.8	no
ERR270633	lineage3.1.2.2	no
ERR270634	lineage1.1.1.1	no
ERR270635	lineage4.7	no
ERR270636	lineage1.1.2	no
ERR270637	lineage2.2.1	no
ERR270638	lineage3	no
ERR270639	lineage4.6.3	no
ERR270640	lineage1.1.2	no
ERR270641	lineage1.2.1.2.1	no
ERR270642	lineage3	no
ERR270643	lineage4.5	no
ERR270644	lineage1.1.2	no
ERR270645	lineage3	no
ERR270646	lineage3	no
ERR270647	lineage3	no
ERR270648	lineage1.2.1.1	no
ERR270649	lineage4.1.1.3	no
ERR270650	lineage3.1.1	no
ERR270651	lineage1.1.2	no
ERR270652	lineage4.9	no
ERR270653	lineage4.1.2.1	no
ERR270654	lineage1.1.3.1	no
ERR270655	lineage3	no
ERR270656	lineage4.1.1.3	no
ERR270657	lineage3	no
ERR270658	lineage1.1.2	no
ERR270659	lineage3	no
ERR270660	lineage1.1.2	no
ERR270661	lineage4.3.3	no
ERR270662	lineage1.1.3.1	no
ERR270663	lineage1.2.2.2	no
ERR270664	lineage1.2.2.2	no
ERR270665	lineage1.2.1.2.1	no
ERR270666	lineage1.1.2	no
ERR270667	lineage1.1.2	no
ERR270668	lineage3.1.2.1	no
ERR270669	lineage1.1.2	no
ERR270670	lineage1.2.2.2	no
ERR270671	lineage1.1.3.2	no
ERR270672	lineage4.1.2.1	no
ERR270673	lineage4.1.2.1	no
ERR270674	lineage1.2.2.2	no
ERR270675	lineage4.9	no
ERR270676	lineage1.1.2	no
ERR270677	lineage1.1.2	no
ERR270678	lineage1.2.2.2	no
ERR270679	lineage2.2.1	no
ERR270680	lineage4.4.1	no
ERR270681	lineage4.1.2	no
ERR270682	lineage4.1.1.3.1	no
ERR270683	lineage3.1.2.1	no
ERR270684	lineage4.1.2	no
ERR270685	lineage1.2.2.2	no
ERR270686	lineage3.1.2	no
ERR270687	lineage3	no
ERR270688	lineage3	no
ERR270689	lineage4.5	no
ERR270690	lineage4.6.2.2	no
ERR270691	lineage3.1.2.1	no
ERR270692	lineage3.1.2	no
ERR270693	lineage2.2.2	no
ERR270694	lineage3	no
ERR270695	lineage1.2.1.2.1	no
ERR270696	lineage4.3.3	no
ERR270697	lineage2.1	no
ERR270698	lineage4.5	no
ERR270699	lineage4.4.1	no
ERR270700	lineage3	no
ERR270701	lineage4.4.1.1	no
ERR270702	lineage4.6.2.2	no
ERR270703	lineage4.1.2	no
ERR270704	lineage4.1.2.1	no
ERR270705	lineage4.1.2	no
ERR270706	lineage3.1.2.1	no
ERR270707	lineage4.2.2.2	no
ERR270708	lineage4.3.3	no
ERR270709	lineage4.9	no
ERR270710	lineage1.2.2.2	no
ERR270711	lineage1.2.2.2	no
ERR270712	lineage4.1.2.1	no
ERR270713	lineage4.2.2.2	no
ERR270714	lineage1.2.1.2.1	no
ERR270715	lineage1.2.1.2.1	no
ERR270716	lineage4.1.1.3.1	no
ERR270717	lineage3	no
ERR270718	lineage2.2.2	no
ERR270719	lineage4.3.3	no
ERR270720	lineage2.2.1	no
ERR270721	lineage4.8	no
ERR270722	lineage4.6.2.2	no
ERR270723	lineage4.3.4.2.1	no
ERR270724	lineage3.1.2.2	no
ERR270725	lineage1.1.1.1	no
ERR270726	lineage3.1.1	no
ERR270727	lineage3	no
ERR270728	lineage3.1.2.1	no
ERR270729	lineage3.1.2.2	no
ERR270730	lineage3	no
ERR270731	lineage3	no
ERR270732	lineage3.1.2	no
ERR270733	lineage3	no
ERR270734	lineage3	no
ERR270735	lineage3	no
ERR270736	lineage3	no
ERR270737	lineage3.1.1	no
ERR270738	lineage3	no
ERR270739	lineage3.1.2	no
ERR270740	lineage4.2.1	no
ERR270741	lineage3	no
ERR270742	lineage3.1.2	no
ERR270743	lineage4.2.2.2	no
ERR270744	lineage1.1.3.1	no
ERR270745	lineage3	no
ERR270746	lineage3.1	no
ERR270747	lineage3	no
ERR270748	lineage3	no
ERR270749	lineage3.1.2.1	no
ERR270750	lineage3	no
ERR270751	lineage4.2.2.2	no
ERR270752	lineage3.1.2	no
ERR270753	lineage3.1.2	no
ERR270754	lineage3.1.2	no
ERR270755	lineage3	no
ERR270756	lineage4.2.2.2	no
ERR270757	lineage3	no
ERR270758	lineage3	no
ERR270759	lineage3	no
ERR270760	lineage3	no
ERR270761	lineage3	no
ERR270762	lineage4.1.1.1	no
ERR270763	lineage1.2.1.2.1	no
ERR270764	lineage4.1.1.3	no
ERR270765	lineage3	no
ERR270766	lineage4.1.1.3.1	no
ERR270767	lineage4.2.2.2;lineage1.1.2	yes
ERR270768	lineage4.1.2.1	no
ERR270769	lineage2.2.1	no
ERR270770	lineage1.2.2.2	no
ERR270771	lineage3	no
ERR270772	lineage1.1.2	no
ERR270773	lineage2.2.1	no
ERR270774	lineage2.2.1	no
ERR270775	lineage3	no
ERR270776	lineage1.1.2	no
ERR270777	lineage4.1.2	no
ERR270778	lineage4.2.2.2	no
ERR270779	lineage3	no
ERR270780	lineage2.2.1	no
ERR270781	lineage3.1.2	no
ERR270782	lineage1.2.2.2	no
ERR270783	lineage3.1.2	no
ERR270784	lineage3.1.1	no
ERR270785	lineage3	no
ERR270786	lineage1.2.1.2.1	no
ERR270787	lineage4.1.2.1	no
ERR270788	lineage4.4.1.2	no
ERR270789	lineage2.2.1	no
ERR270790	lineage4.1.1.3.1	no
ERR270791	lineage1.1.2	no
ERR270792	lineage3	no
ERR270793	lineage3	no
ERR270794	lineage4.1.1.3.1	no
ERR270795	lineage4.1.2	no
ERR270796	lineage4.1.2	no
ERR270797	lineage4.4.1.1	no
ERR270798	lineage4.5	no
ERR270799	lineage1.2.1.2.1	no
ERR270800	lineage4.1.2.1	no
ERR270801	lineage4.1.2	no
ERR270802	lineage4.3.4.1	no
ERR270803	lineage1.1.2	no
ERR270804	lineage1.1.2	no
ERR270805	lineage6.3.1	no
ERR2724039	lineage4.8	no
ERR2724040	lineage4.8	no
ERR2724042	lineage4.8	no
ERR278514	lineage1.1.2	no
ERR278515	lineage1.2.1.1	no
ERR278516	lineage4.6.1.2	no
ERR278517	lineage4.1.2	no
ERR278518	lineage1.1.2	no
ERR278519	lineage4.1.1.3.1	no
ERR278520	lineage1.1.2	no
ERR278521	lineage4.3.3	no
ERR278522	lineage2.2.1	no
ERR278523	lineage4.1.1.1	no
ERR278524	lineage2.2.1	no
ERR278525	lineage4.8	no
ERR278526	lineage4.3.4.1	no
ERR278527	lineage4.8.1	no
ERR278528	lineage4.6.2.2	no
ERR278529	lineage1.2.1.2.1	no
ERR278530	lineage3	no
ERR278531	lineage3;lineage1.2.2.2	yes
ERR278532	lineage1.1.3.1	no
ERR278533	lineage1.2.2.2	no
ERR278534	lineage3	no
ERR278535	lineage3.1.1	no
ERR278536	lineage4.1.1.3.1	no
ERR278537	lineage4.6.5	no
ERR278538	lineage4.2.2.2	no
ERR278539	lineage4.6.5	no
ERR278540	lineage3	no
ERR278541	lineage3	no
ERR278542	lineage4.3.4.1	no
ERR278543	lineage4.3.4.1	no
ERR278544	lineage3.1.3	no
ERR278545	lineage3	no
ERR278546	lineage4.1.1.1	no
ERR278547	lineage3	no
ERR278548	lineage4.1.1.3.1	no
ERR278549	lineage4.1.1.1	no
ERR278550	lineage3	no
ERR278551	lineage3	no
ERR278552	lineage4.6	no
ERR278553	lineage3	no
ERR278554	lineage3	no
ERR278555	lineage4.8	no
ERR278556	lineage3	no
ERR278557	lineage3	no
ERR278558	lineage3	no
ERR278559	lineage4.1.1.3.1	no
ERR278560	lineage3.1.2	no
ERR278561	lineage1.1.2	no
ERR278562	lineage3.1.2	no
ERR278563	lineage4.1.1.3.1	no
ERR278564	lineage1.2.2.2	no
ERR278565	lineage3	no
ERR278566	lineage3	no
ERR278567	lineage4.8.2	no
ERR278568	lineage1.1.2	no
ERR278569	lineage2.2.1	no
ERR278570	lineage4.3.3	no
ERR278571	lineage4.2.2.2	no
ERR278572	lineage3	no
ERR278573	lineage4.1.2.1	no
ERR278574	lineage3	no
ERR278575	lineage4.9	no
ERR278576	lineage1.2.1.2.1	no
ERR278577	lineage3	no
ERR278578	lineage4.6.2.2	no
ERR278579	lineage3	no
ERR278580	lineage4.3	no
ERR278581	lineage4.8	no
ERR278582	lineage3	no
ERR278583	lineage4.3.2	no
ERR278584	lineage1.2.2.1	no
ERR278585	lineage3	no
ERR278586	lineage3.1.2.1	no
ERR278587	lineage1.1.2	no
ERR278588	lineage3.1.2	no
ERR278589	lineage4.1.2.1	no
ERR278590	lineage1.1.2	no
ERR278591	lineage4.2.2.2	no
ERR278592	lineage1.1.2	no
ERR278593	lineage2.2.1	no
ERR278594	NA	NA
ERR278595	lineage4.2.1.1	no
ERR278596	lineage3	no
ERR278597	lineage4.1.2	no
ERR278598	lineage3	no
ERR278599	lineage1.2.1.1	no
ERR278600	lineage3	no
ERR278601	lineage3.1.3	no
ERR278602	lineage3	no
ERR278603	lineage3	no
ERR278604	lineage3	no
ERR278605	lineage1.1.3	no
ERR278606	lineage1.1.2	no
ERR278607	lineage4.3.3	no
ERR278608	lineage4.6	no
ERR278609	lineage3	no
ERR2791531	lineage4.1.2.1	no
ERR2791532	lineage4.8	no
ERR2791533	lineage4.1.2.1	no
ERR2791534	lineage4.1.2.1	no
ERR2791535	lineage4.1.2.1	no
ERR2791536	lineage4.1.2.1	no
ERR2791537	lineage4.3.4.1	no
ERR2791538	lineage4.1.2	no
ERR2791539	lineage4.6	no
ERR2791540	lineage4.3.3	no
ERR2791541	lineage4.1.2.1	no
ERR2791542	lineage4.1.2.1	no
ERR2791543	lineage4.1.2.1	no
ERR2791544	lineage4	no
ERR2791545	lineage4.1.2.1	no
ERR2791546	lineage4.2.1	no
ERR2791547	lineage4	no
ERR2791548	lineage4.1.2.1	no
ERR2791549	lineage4.2.1.1	no
ERR2791550	lineage4.3.4.1	no
ERR2791551	lineage4.8	no
ERR2791552	lineage4.1.2.1	no
ERR2791553	lineage4	no
ERR2791554	lineage4.1.2.1	no
ERR2791555	lineage4.1.2.1	no
ERR2791556	lineage4.1.2.1	no
ERR2791557	lineage4.3.4.1	no
ERR2791558	lineage4.1.2	no
ERR2791559	lineage4.6	no
ERR2791560	lineage4.3.3	no
ERR2791561	lineage4.1.2.1	no
ERR2791562	lineage4.2.1	no
ERR2791563	lineage4	no
ERR2791564	lineage4.1.2.1	no
ERR2791565	lineage4.2.1.1	no
ERR2791566	lineage4.3.4.1	no
ERR294178	lineage3.1	no
ERR294179	lineage1.1.3.1	no
ERR294180	lineage4.8	no
ERR294181	lineage4.4.1.2	no
ERR294182	lineage4.3.4.2.1	no
ERR294183	lineage3	no
ERR294184	lineage3.1.2	no
ERR294185	lineage3	no
ERR294186	lineage1.2.2.2	no
ERR294187	lineage1.1.2	no
ERR294188	lineage4.9	no
ERR294189	lineage1.1.2	no
ERR294190	lineage1.1.3.2	no
ERR294191	lineage1.2.1.1	no
ERR294192	lineage4.9	no
ERR294193	lineage3	no
ERR294194	lineage4.1.2.1	no
ERR294195	lineage3	no
ERR294196	lineage3	no
ERR294197	lineage3	no
ERR294198	lineage2.2.1	no
ERR294199	lineage4.1.2.1	no
ERR294200	lineage1.1.3.1	no
ERR294201	lineage1.1.2	no
ERR294202	lineage3	no
ERR294203	lineage4.8.2	no
ERR294204	lineage1.2.2.1	no
ERR294205	lineage4.1.1.3	no
ERR294206	lineage2.2.1.1	no
ERR294207	lineage3	no
ERR294208	lineage4.3.4.2	no
ERR294209	lineage4.3.2	no
ERR294210	lineage3	no
ERR294211	lineage1.2.2.2	no
ERR294212	lineage1.1.2	no
ERR294213	lineage4.3.4.2.1	no
ERR294214	lineage4.3.4.2.1	no
ERR294215	lineage4.1.1.3.1	no
ERR294216	lineage4.1.2.1	no
ERR294217	lineage3.1.3	no
ERR294218	lineage1.2.2.2	no
ERR294219	lineage1.1.3.2	no
ERR294220	lineage3	no
ERR294221	lineage3	no
ERR294222	lineage3	no
ERR294223	lineage3	no
ERR294224	lineage3	no
ERR294225	lineage3.1.2.2	no
ERR294226	lineage4.2.2.2	no
ERR294227	lineage3	no
ERR294228	lineage3.1.3	no
ERR294229	lineage3.1.1	no
ERR294230	lineage3	no
ERR294231	lineage3	no
ERR294232	lineage3	no
ERR294233	lineage3	no
ERR294234	lineage3	no
ERR294235	lineage3	no
ERR294236	lineage3.1.1	no
ERR294237	lineage3	no
ERR294238	lineage3.1.3	no
ERR294239	lineage3	no
ERR294240	lineage3	no
ERR294241	NA	NA
ERR294242	lineage5.1.2	no
ERR294243	lineage5.1.1	no
ERR294244	lineage5.1.2	no
ERR294245	lineage4.9	no
ERR294246	lineage3	no
ERR294247	lineage4.1.1.3.1	no
ERR294248	NA	NA
ERR294249	lineage5.1.2	no
ERR294250	lineage3	no
ERR294251	lineage4.6.5	no
ERR294252	lineage4.1.1.1	no
ERR294253	lineage3	no
ERR294254	lineage4.8	no
ERR294255	lineage3	no
ERR294256	lineage4.7	no
ERR294257	lineage4.4.1.1	no
ERR294258	lineage4.6	no
ERR294259	lineage4.3.3	no
ERR294260	lineage3	no
ERR294261	lineage3	no
ERR294262	lineage4.5	no
ERR294263	lineage2.2.1	no
ERR294264	lineage1.2.2.2	no
ERR294265	lineage4.8	no
ERR294266	NA	NA
ERR294267	lineage2.2.1	no
ERR294268	lineage3	no
ERR294269	lineage4.8	no
ERR294270	lineage4.1.2.1	no
ERR294271	lineage4.4.1.1	no
ERR294272	lineage4.9	no
ERR294273	lineage4.1.2	no
ERR3063106	lineage4.4.1.1	no
ERR3063107	lineage4.4.1.1	no
ERR3063108	lineage4.4.1.1	no
ERR3063109	lineage4.4.1.1	no
ERR3063110	lineage4.4.1.1	no
ERR3063111	lineage4.4.1.1	no
ERR3063112	lineage4.4.1.1	no
ERR3063113	lineage4.4.1.1	no
ERR3063114	lineage4.4.1.1	no
ERR3063115	lineage4.4.1.1	no
ERR3063116	lineage4.4.1.1	no
ERR3063117	lineage4.4.1.1	no
ERR3063118	lineage4.4.1.1	no
ERR3063119	lineage4.4.1.1	no
ERR3063120	lineage4.4.1.1	no
ERR3063121	lineage4.4.1.1	no
ERR3063122	lineage4.4.1.1	no
ERR3063123	lineage4.4.1.1	no
ERR3063124	lineage4.4.1.1	no
ERR3063125	lineage4.4.1.1	no
ERR3063126	lineage4.4.1.1	no
ERR3063127	lineage4.4.1.1	no
ERR3063128	lineage4.4.1.1	no
ERR3063129	lineage4.4.1.1	no
ERR3063130	lineage4.4.1.1	no
ERR3063131	lineage4.4.1.1	no
ERR3063132	lineage4.4.1.1	no
ERR3063133	lineage4.4.1.1	no
ERR3063134	lineage4.4.1.1	no
ERR3063135	lineage4.4.1.1	no
ERR3063136	lineage4.4.1.1	no
ERR323033	NA	NA
ERR323034	lineage3.1	no
ERR323035	NA	NA
ERR323036	NA	NA
ERR323037	lineage4.9	no
ERR323038	NA	NA
ERR323039	lineage4.1	no
ERR323040	NA	NA
ERR323041	NA	NA
ERR323042	lineage4.1.1.3	no
ERR323043	lineage4.3.4	no
ERR323044	lineage4.3.4.2.1	no
ERR323045	lineage1.1	no
ERR323046	lineage1.1.2	no
ERR323047	NA	NA
ERR323048	NA	NA
ERR323049	lineage4.3.4.2.1	no
ERR323050	lineage3.1.1	no
ERR323051	lineage1.1.2	no
ERR323052	lineage3.1.1	no
ERR323053	lineage4	no
ERR323054	lineage3.1	no
ERR323055	NA	NA
ERR323056	lineage4.4.1	no
ERR323057	NA	NA
ERR323058	NA	NA
ERR323059	lineage4.1.2	no
ERR323060	NA	NA
ERR323061	NA	NA
ERR323062	lineage2.1	no
ERR323063	NA	NA
ERR323064	NA	NA
ERR323065	lineage3.1.1	no
ERR323066	NA	NA
ERR323067	lineage4.3.4.2.1	no
ERR323068	NA	NA
ERR323069	lineage4.3.4.2.1	no
ERR323070	lineage4.3.4.1	no
ERR323071	lineage4.3.4.2.1	no
ERR323072	lineage4.3.4.2.1	no
ERR323073	lineage4.3.4.2.1	no
ERR323074	lineage3	no
ERR323075	lineage4.6.1.2	no
ERR323076	lineage4.9.1	no
ERR323077	lineage4.1.1.3	no
ERR323078	lineage4.3.4.2.1	no
ERR323079	lineage1.1.3.2	no
ERR323080	lineage4.3.4.2.1	no
ERR323081	lineage4.3.4.2.1	no
ERR323082	lineage4.3.4.2.1;lineage4.1.2	yes
ERR323083	lineage4.3.4.2.1	no
ERR323084	lineage4.3.4.2.1	no
ERR323085	lineage4.9;lineage4.8.2;lineage4.3.2.1;lineage4.3.1	yes
ERR323086	lineage4.3.4.1	no
ERR323087	lineage4.3.4.2.1	no
ERR323088	lineage4.1.2	no
ERR323089	lineage4.3.4.2.1	no
ERR323090	lineage4.3.4.2.1	no
ERR323091	lineage4.3.4.2.1	no
ERR323092	lineage1.1.3.2	no
ERR323093	lineage1.1.3.2	no
ERR323094	lineage4.3.4.2.1	no
ERR323095	lineage4.3.4.2.1	no
ERR323096	lineage4.3.4.2.1	no
ERR323097	lineage3.1.1	no
ERR323098	lineage4.3.4.2.1	no
ERR323099	lineage3	no
ERR323100	lineage4.1.2	no
ERR323101	lineage4.3.4.1	no
ERR323102	lineage4.3.4.2.1	no
ERR323103	lineage4.9	no
ERR323104	lineage4.3.4.2.1	no
ERR323105	lineage4.3.3	no
ERR323106	lineage1.1.2	no
ERR323107	lineage4.9;lineage4.6.1;lineage4.3;lineage2.1	yes
ERR323108	lineage9;lineage4	yes
ERR323109	lineage4.3.4.2.1	no
ERR323110	lineage4.1.2.1	no
ERR323111	lineage1.2.2.2	no
ERR323112	lineage4.3.3	no
ERR323113	lineage4.3.4.2.1	no
ERR323114	lineage4.3.4.2.1	no
ERR323115	NA	NA
ERR323116	lineage4.3.4.2.1	no
ERR323117	lineage4.3.4.2.1	no
ERR323118	lineage4.3.3	no
ERR323119	lineage2.2.1	no
ERR330650	lineage1.2.2.1	no
ERR330651	lineage4.9	no
ERR330652	lineage4.9;lineage2.2.1;lineage1	yes
ERR330653	lineage1.1.2	no
ERR330654	lineage4.5	no
ERR330655	lineage4.1.1.3	no
ERR330656	lineage1.1.3.1	no
ERR330657	lineage4;lineage3	yes
ERR330658	lineage4.1.2.1	no
ERR330659	lineage4.8.2	no
ERR330660	lineage4.8	no
ERR330661	lineage4.1.1.1	no
ERR330662	lineage4.9	no
ERR330663	lineage4.8	no
ERR330664	lineage1.1.2	no
ERR330665	lineage4.3.2;lineage4.1.1.3.1	yes
ERR330666	lineage1.1.3.1	no
ERR330667	lineage3	no
ERR330668	lineage4.8	no
ERR330669	lineage4.5	no
ERR330670	lineage4.1.1.3.1	no
ERR330671	lineage3	no
ERR330672	lineage2.2.1	no
ERR330673	lineage4.1.1.3.1	no
ERR330674	lineage4.7	no
ERR330675	lineage4.3.4.2.1	no
ERR330676	lineage4.7	no
ERR330677	lineage4.5	no
ERR330678	lineage4.1.1.3.1	no
ERR330679	lineage3	no
ERR330680	lineage4.9	no
ERR330681	lineage1.1.2	no
ERR330682	lineage4.5	no
ERR330683	lineage4.1.2.1	no
ERR330684	lineage4.9	no
ERR330685	lineage4.6.1.1	no
ERR330686	lineage1.1.3.2	no
ERR330687	lineage4.8	no
ERR330688	lineage2.2.1	no
ERR330689	lineage4.1.1.3.1	no
ERR330690	lineage4.3.2	no
ERR330691	lineage4.3.3	no
ERR330692	lineage4.3.3	no
ERR330693	lineage1.1.2	no
ERR330694	lineage1.2.2.1	no
ERR330695	lineage1.1.2	no
ERR330696	lineage1.1.2	no
ERR330697	lineage4.4.1.1	no
ERR330698	lineage4.8	no
ERR330699	lineage3	no
ERR330700	lineage4.3.4.2	no
ERR330701	lineage4.1.2.1	no
ERR330702	lineage4.3.4.2.1	no
ERR330703	lineage4.9	no
ERR330704	lineage4.1.1.3.1	no
ERR330705	lineage3	no
ERR330706	lineage4.3.3	no
ERR330707	lineage4;lineage1.1.2	yes
ERR330708	lineage4.2.2	no
ERR330709	lineage1.2.2.2	no
ERR330710	lineage1.1.2	no
ERR330711	lineage2.2.1	no
ERR330712	lineage4.1.2.1	no
ERR330713	lineage4.3.4.2.1;lineage3	yes
ERR330714	lineage4.2.2.2	no
ERR330715	lineage3	no
ERR330716	lineage3	no
ERR330717	lineage3.1.2	no
ERR330718	lineage3.1.3	no
ERR330719	lineage3	no
ERR330720	lineage3	no
ERR330721	lineage3	no
ERR330722	NA	NA
ERR330723	NA	NA
ERR330724	lineage3	no
ERR330725	lineage3	no
ERR330726	lineage3.1.3	no
ERR330727	lineage3	no
ERR330728	lineage3	no
ERR330729	lineage3	no
ERR330730	lineage3.1.1	no
ERR330731	lineage3.1.1	no
ERR330732	lineage4.2.2.2	no
ERR330733	lineage1.2.2.2	no
ERR330734	lineage4.1.1.3	no
ERR330735	lineage1.2.1.2.1	no
ERR330736	lineage3.1.3	no
ERR330737	lineage4.4.1.2;lineage3	yes
ERR330738	lineage4.1.2.1	no
ERR330739	lineage3	no
ERR330740	lineage2.2.1	no
ERR330741	lineage3	no
ERR330742	lineage3	no
ERR330743	lineage3.1.2	no
ERR330744	lineage3	no
ERR330745	lineage3.1.1	no
ERR3340696	lineage4.1.1.3	no
ERR3340697	lineage4.3.2.1	no
ERR3340698	lineage4.3.2.1	no
ERR3340699	lineage2.2.1.1	no
ERR3340700	lineage4.1.1.3	no
ERR3340701	lineage4.3.2.1	no
ERR3340702	lineage2.2.1.1	no
ERR3340703	lineage2.2.1.1	no
ERR3340704	lineage4.3.2.1	no
ERR3340705	lineage4.3.2.1	no
ERR3340706	lineage2.2.1.1	no
ERR3340707	lineage4.1.1.3	no
ERR3340708	lineage4.3.2.1	no
ERR3340709	lineage2.2.1	no
ERR3340710	lineage4.1.1.3;lineage2.2.1	yes
ERR3340711	lineage4.1.1.3	no
ERR3340712	lineage4.1.1.3	no
ERR3340713	lineage4.1.1.3	no
ERR3340714	lineage4.1.1.3	no
ERR3340715	lineage2.2.1	no
ERR3340716	lineage4.1.1.3	no
ERR3340717	lineage4.1.1.3	no
ERR3340718	lineage4.3.2.1	no
ERR3340719	lineage4.1.1.3	no
ERR3340720	lineage4.1.1.3	no
ERR3340721	lineage2.2.1.1	no
ERR3340722	lineage4.1.1.3	no
ERR3340723	lineage2.2.1	no
ERR3340724	lineage4.1.1.3	no
ERR3340725	lineage2.2.1	no
ERR3340726	lineage2.2.1.1	no
ERR3340727	lineage2.2.1.1	no
ERR3340728	lineage4.3.2.1	no
ERR3340729	lineage4.3.2.1	no
ERR3340730	lineage4.1.1.3	no
ERR3340731	lineage4.1.1.3	no
ERR3340732	lineage4.3.2.1;lineage2.2.1.1	yes
ERR3340733	lineage4.1.1.3	no
ERR3340734	lineage2.2.1.1	no
ERR3340735	lineage4.3.2.1	no
ERR3340736	lineage4.1.1.3	no
ERR3340737	lineage4.1.1.3	no
ERR3340738	lineage2.2.1.1	no
ERR3340739	lineage4.1.1.3	no
ERR3340740	lineage4.3.2.1	no
ERR3340741	lineage4.1.1.3	no
ERR3340742	lineage4.1.1.3	no
ERR3340743	lineage4.1.1.3	no
ERR3340744	lineage2.2.1.1	no
ERR3340745	lineage4.1.1.3	no
ERR351845	lineage3.1	no
ERR351846	lineage3	no
ERR351847	lineage3	no
ERR351848	NA	NA
ERR351849	lineage3	no
ERR351850	lineage3	no
ERR351851	lineage3	no
ERR351852	lineage3	no
ERR351853	lineage1.2.1.1	no
ERR351854	lineage3.1.1	no
ERR351855	lineage3	no
ERR351856	lineage3	no
ERR351857	lineage3.1.1	no
ERR351858	lineage3	no
ERR351859	lineage3	no
ERR351860	lineage3.1.1	no
ERR351861	lineage3.1.1	no
ERR351862	lineage3.1.1	no
ERR351863	lineage3	no
ERR351864	lineage3.1.1	no
ERR351865	lineage1.1.2	no
ERR351866	lineage3	no
ERR351867	lineage3	no
ERR351868	lineage3	no
ERR351869	lineage3.1.2	no
ERR351870	lineage3	no
ERR351871	lineage3.1.2.2	no
ERR351872	lineage3	no
ERR351873	lineage3	no
ERR351874	lineage3	no
ERR351875	lineage3	no
ERR351876	lineage3	no
ERR351877	lineage3	no
ERR351878	lineage3	no
ERR351879	lineage3	no
ERR351880	lineage3	no
ERR351881	lineage3.1.2	no
ERR351882	lineage4.6.1.1	no
ERR351883	lineage1.1.3.1	no
ERR351884	NA	NA
ERR351885	lineage3	no
ERR351886	lineage4.3.2.1	no
ERR351887	lineage3	no
ERR351888	lineage1.1.2	no
ERR351889	lineage4.1.1.1	no
ERR351890	lineage3	no
ERR351891	lineage3	no
ERR351892	lineage4.3.2.1	no
ERR351893	lineage4.1.1.3	no
ERR351894	lineage4.3.3	no
ERR351895	lineage2.2.1.1	no
ERR351896	lineage4.8	no
ERR351897	lineage4.8	no
ERR351898	lineage3.1.2	no
ERR351899	lineage4.1.2.1	no
ERR351900	lineage4.1.4	no
ERR351901	lineage3.1.1	no
ERR351902	lineage3	no
ERR351903	lineage3.1.2.1	no
ERR351904	lineage4.1.4	no
ERR351905	lineage3.1.1	no
