host_id	isolate_id
7701f68e-8ef0-45de-8ee1-54f767423fb4_lineage2.2.1_strain1	SRR13232585
77a39f8c-8e66-48b5-a3d6-ca074165c9b7_lineage2.2.1_strain1	SRR7516404
77e6a0ac-6440-45df-a89b-cb0a273c9198_lineage2.2.1_strain1	SRR3743494
7a654f7b-517f-47e0-b93f-71c581f7c56c_lineage2.2.1_strain1	SRR13232678
7ad6db11-9648-4a3b-8059-224ef2a6cdcc_lineage2.2.1_strain1	SRR7516328
7c6ecc6d-c535-414b-83d7-04422994147d_lineage2.2.1_strain1	SRR1158874
7f221bee-8699-4be5-b996-1730571e9644_lineage2.2.1_strain1	SRR6356991
806326d4-9570-46ab-900a-97e28bc0463c_lineage2.2.1_strain1	SRR10397179
80a75c60-a887-4e2c-a09c-d24193362d2a_lineage2.2.1_strain1	SRR1163023
818125dc-dc3b-42af-806a-43db771079a7_lineage2.2.1_strain1	SRR10379986
837b99b2-5bbb-4325-b3ae-aeb01301b719_lineage2.2.1_strain1	SRR13312540
837b99b2-5bbb-4325-b3ae-aeb01301b719_lineage2.2.1_strain1	SRR13312541
837b99b2-5bbb-4325-b3ae-aeb01301b719_lineage2.2.1_strain1	SRR13312542
837b99b2-5bbb-4325-b3ae-aeb01301b719_lineage2.2.1_strain1	SRR13312543
83cc6308-6828-4ca1-8499-2d4a88762ea6_lineage2.2.1_strain1	SRR16088186
86a9a615-f73f-4d61-b668-bbd9e661e486_lineage2.2.1_strain1	SRR13232520
86e69cb8-4708-433f-964a-baefd85dde46_lineage2.2.1_strain1	SRR7516424
86f2f115-2231-438a-9947-cfb4fd4d7f0f_lineage2.2.1_strain1	SRR3743392
8a950927-4684-4c77-be6f-f0ce2d8da100_lineage2.2.1_strain1	SRR5153834
8b80fd35-ebd1-41aa-9ad6-0e0cfeae1e12_lineage2.2.1_strain1	SRR5153886
8fdb2351-7650-4db2-b58e-aad375d1cbd7_lineage2.2.1_strain1	SRR10380184
90ed30f9-6bca-4c7c-a60d-89b195599aa5_lineage2.2.1_strain1	SRR13232517
91bfdbfb-b947-42a9-8df3-0a6729b0909a_lineage2.2.1_strain1	SRR3743481
938ea631-a573-4935-8dee-d9f6ec26a90f_lineage2.2.1_strain1	SRR7516288
9402888e-7a6b-41c4-ad36-5ffe7f275a5f_lineage2.2.1_strain1	SRR6458417
9589126b-33b1-42d5-bd0d-9546ca7e565c_lineage2.2.1_strain1	SRR7516308
973a82c7-ef00-4df1-9806-aded5b6f2bf7_lineage2.2.1_strain1	SRR13232469
973a82c7-ef00-4df1-9806-aded5b6f2bf7_lineage2.2.1_strain1	SRR13232480
973a82c7-ef00-4df1-9806-aded5b6f2bf7_lineage2.2.1_strain1	SRR13232740
97754e38-4f1c-4d81-b6ad-f5cd3bf06bed_lineage2.2.1_strain1	SRR13232711
9a329f68-28ec-4100-bce2-8c9d4e463948_lineage2.2.1_strain1	SRR10380032
9eb9fae3-e144-4999-8f6b-236fcc61d8ad_lineage2.2.1_strain1	SRR10380064
a0640adf-ce5f-4f6e-9154-718da5407601_lineage2.2.1_strain1	SRR6807695
a1a9c30f-2b06-4611-9d44-12b90e10dff0_lineage2.2.1_strain1	SRR10380033
a79efdbe-0567-4f0c-a1dc-dcfea136aabf_lineage2.2.1_strain1	SRR7516346
aac81a06-aa9a-4f17-8645-076d5ef81e85_lineage2.2.1_strain1	SRR13232717
ad0154c1-b839-45ab-abe1-bc909b257abd_lineage2.2.1_strain1	SRR6458388
adc91ad8-2485-4058-9348-54d96af65df8_lineage2.2.1_strain1	SRR10397147
af0bc458-64a5-47c7-8197-8f4f3a967e5a_lineage2.2.1_strain1	SRR7516330
asare2021_RL012_lineage2.2.1_strain1	SRR11461680
asare2021_RL035_lineage2.2.1_strain1	SRR11461662
b0a7a22e-93c5-4c59-9739-85d6e88391dc_lineage2.2.1_strain1	SRR3743409
b16a9a45-01a8-4853-906b-4ddc66684b52_lineage2.2.1_strain1	SRR16088469
b1d001dd-ff97-4f46-8109-8ed40f496950_lineage2.2.1_strain1	SRR16088286
b662b070-5ca1-4afe-a7e4-ee10d3b742ca_lineage2.2.1_strain1	SRR6807740
b6738fbe-dd2f-422d-9a6d-b778a6691c5a_lineage2.2.1_strain1	SRR7516398
b6792bd6-0f95-4cf3-bd15-5064dfd9cc67_lineage2.2.1_strain1	SRR7516393
bb48d49a-696c-4dd3-961d-f9effbfc258b_lineage2.2.1_strain1	SRR5486885
bf320fb1-90f1-43ea-8075-2a83fb474723_lineage2.2.1_strain1	SRR3743499
c0029751-924b-4cb0-b645-92a781545161_lineage2.2.1_strain1	SRR16088520
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397233
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397234
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397235
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397236
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397237
c28a7911-1202-43a3-a14d-274999c35d38_lineage2.2.1_strain1	SRR10397239
c43c7e55-8f49-4843-ac2b-217954eab3a7_lineage2.2.1_strain1	SRR1163103
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312521
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312522
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312525
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312536
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312547
c9613eeb-5cfe-4afd-bd7f-dc3742320f34_lineage2.2.1_strain1	SRR13312548
cbd0d1ab-544a-46ee-a394-f590b6322365_lineage2.2.1_strain1	SRR5153601
cbd0d1ab-544a-46ee-a394-f590b6322365_lineage2.2.1_strain1	SRR5153611
cbd0d1ab-544a-46ee-a394-f590b6322365_lineage2.2.1_strain1	SRR5153614
cbd0d1ab-544a-46ee-a394-f590b6322365_lineage2.2.1_strain1	SRR5153619
